AccountBalance,IsTestUser,InvoicedOnDay,CreatedDate,Currency,Id,LatestInvoiceDate,Name
0.00,0,3,2019-11-24,EUR,bixvl1,2023-08-30,Luther Corwin
0.00,0,9,2016-12-08,EUR,3dumdy,2023-12-27,Jon Schulist
0.00,0,16,2018-12-25,EUR,pmcy45,2023-06-12,Lindsay Armstrong
0.00,0,20,2023-06-02,EUR,inlho7,2024-01-17,Joseph Leannon
0.00,0,23,2023-12-03,EUR,dex0hj,2024-01-30,Armando Armstrong
0.00,0,2,2020-12-15,EUR,tzeyn7,2023-07-12,Jan Jones
0.00,0,23,2022-06-09,EUR,q8prpr,2024-09-01,Audrey Daniel
0.00,0,6,2022-12-25,EUR,ql9iqf,2023-08-17,Sidney Feeney
0.00,0,4,2019-07-16,EUR,mbkxhv,2024-01-14,Jan Ward
0.00,0,28,2018-05-07,EUR,fxt9fd,2024-01-26,Laurence Stamm
0.00,0,31,2019-08-17,AUD,cqcdss,2023-08-29,Cynthia Schaden
0.00,1,12,2017-11-16,AUD,q74ijz,2024-01-22,Harvey Kunde
0.00,0,8,2018-03-14,GBP,y9nmow,2023-05-08,Marta O'Connell
0.00,0,14,2024-06-02,MXN,2cem2o,2023-06-11,Laura O'Hara-Ferry
0.00,0,9,2018-07-30,GBP,v6zb81,2023-03-12,Bessie Stamm
0.00,0,21,2023-07-12,EUR,wp8q44,2023-08-08,Salvador Haley
0.00,0,29,2024-01-26,EUR,bbrd43,2023-11-16,Constance Hermann
0.00,1,6,2018-12-27,AUD,1a9dbg,2024-06-01,Isabel Kautzer
0.00,0,6,2018-12-02,MXN,dny8j6,2023-12-21,Eric Hauck
0.00,0,24,2023-10-21,MXN,o545i6,2024-02-17,Henrietta Toy
0.00,0,1,2019-08-26,MXN,b0qbbw,2023-11-13,Meghan McCullough
0.00,0,6,2021-02-21,BRL,r2xlnc,2023-07-08,Nadine Bartell
0.00,0,10,2024-08-01,GBP,o3wn2b,2023-11-24,Eleanor Cummerata
0.00,0,27,2016-07-25,GBP,huzfp7,2024-01-23,Yvette Botsford
0.00,0,11,2019-06-26,EUR,ckzfj0,2023-12-24,Sarah Botsford
0.00,0,7,2019-01-24,MXN,ovdon5,2023-10-08,Laurence Leuschke
0.00,0,27,2020-05-30,GBP,6d00yr,2023-11-09,Arturo Monahan
0.00,0,27,2017-07-01,MXN,5nobb6,2024-04-01,Anthony Prosacco
0.00,0,2,2017-02-15,EUR,0a017h,2023-11-12,Phillip Haley
0.00,0,14,2017-05-15,GBP,77zmpd,2023-08-15,Maureen Johnson
